volume,part,chapter,value,paragraph,emphasis,character
Том первый,Часть первая,III,3,"Князь Андрей зажмурился и отвернулся. Пьер, со времени входа князя Андрея в гостиную не спускавший с него радостных, дружелюбных глаз, подошел к нему и взял его за руку. Князь Андрей, не оглядываясь, сморщил лицо в гримасу, выражавшую досаду на того, кто трогает его за руку, но, увидав улыбающееся лицо Пьера, улыбнулся неожиданно-доброй и приятной улыбкой.","Князь Андрей зажмурился и отвернулся. Пьер, со времени входа князя Андрея в гостиную не спускавший с него РАДОСТНЫХ, дружелюбных глаз, подошел к нему и взял его за руку. Князь Андрей, не оглядываясь, сморщил лицо в гримасу, выражавшую досаду на того, кто трогает его за руку, но, увидав улыбающееся лицо Пьера, улыбнулся неожиданно-доброй и приятной улыбкой.",Андрей Болконский
Том первый,Часть первая,XXIII,23,"Старик находился в хорошем расположении духа после дообеденного сна. (Он говорил, что после обеда серебряный сон, а до обеда золотой.) Он радостно из-под своих густых нависших бровей косился на сына. Князь Андрей подошел и поцеловал отца в указанное им место. Он не отвечал на любимую тему разговора отца — подтруниванье над теперешними военными людьми, а особенно над Бонапартом.","Старик находился в хорошем расположении духа после дообеденного сна. (Он говорил, что после обеда серебряный сон, а до обеда золотой.) Он РАДОСТНО из-под своих густых нависших бровей косился на сына. Князь Андрей подошел и поцеловал отца в указанное им место. Он не отвечал на любимую тему разговора отца — подтруниванье над теперешними военными людьми, а особенно над Бонапартом.",Андрей Болконский
Том первый,Часть первая,XXIV,24,"И разговор зашел опять о войне, о Бонапарте и нынешних генералах и государственных людях. Старый князь, казалось, был убежден не только в том, что все теперешние деятели были мальчишки, не смыслившие и азбуки военного и государственного дела, и что Бонапарте был ничтожный французишка, имевший успех только потому, что уже не было Потемкиных и Суворовых противопоставить ему; но он был убежден даже, что никаких политических затруднений не было в Европе, не было и войны, а была какая-то кукольная комедия, в которую играли нынешние люди, притворяясь, что делают дело. Князь Андрей весело выдерживал насмешки отца над новыми людьми и с видимою радостью вызывал отца на разговор и слушал его.","И разговор зашел опять о войне, о Бонапарте и нынешних генералах и государственных людях. Старый князь, казалось, был убежден не только в том, что все теперешние деятели были мальчишки, не смыслившие и азбуки военного и государственного дела, и что Бонапарте был ничтожный французишка, имевший успех только потому, что уже не было Потемкиных и Суворовых противопоставить ему; но он был убежден даже, что никаких политических затруднений не было в Европе, не было и войны, а была какая-то кукольная комедия, в которую играли нынешние люди, притворяясь, что делают дело. Князь Андрей весело выдерживал насмешки отца над новыми людьми и с видимою РАДОСТЬЮ вызывал отца на разговор и слушал его.",Андрей Болконский
Том первый,Часть первая,XXIV,24,"— Это кто тебе сказал? Кто сказал? — крикнул князь. — Суворов! — И он отбросил тарелку, которую живо подхватил Тихон. — Суворов!.. Подумавши, князь Андрей. Два: Фридрих и Суворов... Моро! Моро был бы в плену, коли бы у Суворова руки свободны были; а у него на руках сидели хофс-кригс-вурст-шнапс-рат. Ему черт не рад. Вот пойдете, эти хофс-кригс-вурстраты узнаете! Суворов с ними не сладил, так уж где ж Михаиле Кутузову сладить?! Нет, дружок, — продолжал он, — вам с своими генералами против Бонапарте не обойтись; надо французов взять, чтобы своя своих не познаша и своя своих побиваша. Немца Палена в Новый-Йорк, в Америку, за французом Моро послали, — сказал он, намекая на приглашение, которое в этом году было сделано Моро вступить в русскую службу. — Чудеса!! Что, Потемкины, Суворовы, Орловы разве немцы были? Нет, брат, либо там вы все с ума сошли, либо я из ума выжил. Дай вам Бог, а мы посмотрим. Бонапарте у них стал полководец великий! Гм!..","— Это кто тебе сказал? Кто сказал? — крикнул князь. — Суворов! — И он отбросил тарелку, которую живо подхватил Тихон. — Суворов!.. Подумавши, князь Андрей. Два: Фридрих и Суворов... Моро! Моро был бы в плену, коли бы у Суворова руки свободны были; а у него на руках сидели хофс-кригс-вурст-шнапс-рат. Ему черт не РАД. Вот пойдете, эти хофс-кригс-вурстраты узнаете! Суворов с ними не сладил, так уж где ж Михаиле Кутузову сладить?! Нет, дружок, — продолжал он, — вам с своими генералами против Бонапарте не обойтись; надо французов взять, чтобы своя своих не познаша и своя своих побиваша. Немца Палена в Новый-Йорк, в Америку, за французом Моро послали, — сказал он, намекая на приглашение, которое в этом году было сделано Моро вступить в русскую службу. — Чудеса!! Что, Потемкины, Суворовы, Орловы разве немцы были? Нет, брат, либо там вы все с ума сошли, либо я из ума выжил. Дай вам Бог, а мы посмотрим. Бонапарте у них стал полководец великий! Гм!..",Андрей Болконский
Том первый,Часть первая,XXV,25,"— Ежели он не в два пуда и шеи не оттянет... Чтобы тебе сделать удовольствие... — сказал князь Андрей, но в ту же секунду, заметив огорченное выражение, которое приняло лицо сестры при этой шутке, он раскаялся. — Очень рад, право, очень рад, мой друг, — прибавил он.","— Ежели он не в два пуда и шеи не оттянет... Чтобы тебе сделать удовольствие... — сказал князь Андрей, но в ту же секунду, заметив огорченное выражение, которое приняло лицо сестры при этой шутке, он раскаялся. — Очень РАД, право, очень РАД, мой друг, — прибавил он.",Андрей Болконский
Том первый,Часть вторая,III,28,"Князь Андрей был один из тех редких офицеров в штабе, который полагал свой главный интерес в общем ходе военного дела. Увидав Мака и услыхав подробности его погибели, он понял, что половина кампании проиграна, понял всю трудность положения русских войск и живо вообразил себе то, что ожидает армию, и ту роль, которую он должен будет играть в ней. Невольно он испытывал волнующее радостное чувство при мысли о посрамлении самонадеянной Австрии и о том, что через неделю, может быть, придется ему увидеть и принять участие в столкновении русских с французами, впервые после Суворова. Но он боялся гения Бонапарта, который мог оказаться сильнее всей храбрости русских войск, и вместе с тем не мог допустить позора для своего героя.","Князь Андрей был один из тех редких офицеров в штабе, который полагал свой главный интерес в общем ходе военного дела. Увидав Мака и услыхав подробности его погибели, он понял, что половина кампании проиграна, понял всю трудность положения русских войск и живо вообразил себе то, что ожидает армию, и ту роль, которую он должен будет играть в ней. Невольно он испытывал волнующее РАДОСТНОЕ чувство при мысли о посрамлении самонадеянной Австрии и о том, что через неделю, может быть, придется ему увидеть и принять участие в столкновении русских с французами, впервые после Суворова. Но он боялся гения Бонапарта, который мог оказаться сильнее всей храбрости русских войск, и вместе с тем не мог допустить позора для своего героя.",Андрей Болконский
Том первый,Часть вторая,IX,34,"Ночь была темная, звездная; дорога чернелась между белевшим снегом, выпавшим накануне, в день сражения. То перебирая впечатления прошедшего сражения, то радостно воображая впечатление, которое он произведет известием о победе, вспоминая проводы главнокомандующего и товарищей, князь Андрей скакал в почтовой бричке, испытывая чувство человека, долго ждавшего, и, наконец, достигшего начала желаемого счастия. Как скоро он закрывал глаза, в ушах его раздавалась пальба ружей и орудий, которая сливалась со стуком колес и впечатлением победы. То ему начинало представляться, что русские бегут, что он сам убит; но он поспешно просыпался, со счастием как будто вновь узнавал, что ничего этого не было и что, напротив, французы бежали. Он снова вспоминал все подробности победы, свое спокойное мужество во время сражения и, успокоившись, задремывал... После темной звездной ночи наступило яркое, веселое утро. Снег таял на солнце, лошади быстро скакали, и безразлично вправе и влеве проходили новые разнообразные леса, поля, деревни.","Ночь была темная, звездная; дорога чернелась между белевшим снегом, выпавшим накануне, в день сражения. То перебирая впечатления прошедшего сражения, то РАДОСТНО воображая впечатление, которое он произведет известием о победе, вспоминая проводы главнокомандующего и товарищей, князь Андрей скакал в почтовой бричке, испытывая чувство человека, долго ждавшего, и, наконец, достигшего начала желаемого счастия. Как скоро он закрывал глаза, в ушах его раздавалась пальба ружей и орудий, которая сливалась со стуком колес и впечатлением победы. То ему начинало представляться, что русские бегут, что он сам убит; но он поспешно просыпался, со счастием как будто вновь узнавал, что ничего этого не было и что, напротив, французы бежали. Он снова вспоминал все подробности победы, свое спокойное мужество во время сражения и, успокоившись, задремывал... После темной звездной ночи наступило яркое, веселое утро. Снег таял на солнце, лошади быстро скакали, и безразлично вправе и влеве проходили новые разнообразные леса, поля, деревни.",Андрей Болконский
Том первый,Часть вторая,IX,34,"Дежурный флигель-адъютант, встретивший князя Андрея, попросил его подождать и пошел к военному министру. Через пять минут флигель-адъютант вернулся и, особенно учтиво наклонясь и пропуская князя Андрея вперед себя, провел его через коридор в кабинет, где занимался военный министр. Флигель-адъютант своею изысканной учтивостью, казалось, хотел оградить себя от попыток фамильярности русского адъютанта. Радостное чувство князя Андрея значительно ослабело, когда он подходил к двери кабинета военного министра. Он почувствовал себя оскорбленным, и чувство оскорбления перешло в то же мгновение незаметно для него самого в чувство презрения, ни на чем не основанного. Находчивый же ум в то же мгновение подсказал ему ту точку зрения, с которой он имел право презирать и адъютанта и военного министра. «Им, должно быть, очень легко покажется одерживать победы, не нюхая пороха!» — подумал он. Глаза его презрительно прищурились; он особенно медленно вошел в кабинет военного министра. Чувство это еще более усилилось, когда он увидал военного министра, сидевшего над большим столом и в первые две минуты не обращавшего внимания на вошедшего. Военный министр опустил свою лысую, с седыми висками, голову между двух восковых свечей и читал, отмечая карандашом, бумаги. Он дочитывал, не поднимая головы, в то время как отворилась дверь и послышались шаги.","Дежурный флигель-адъютант, встретивший князя Андрея, попросил его подождать и пошел к военному министру. Через пять минут флигель-адъютант вернулся и, особенно учтиво наклонясь и пропуская князя Андрея вперед себя, провел его через коридор в кабинет, где занимался военный министр. Флигель-адъютант своею изысканной учтивостью, казалось, хотел оградить себя от попыток фамильярности русского адъютанта. РАДОСТНОЕ чувство князя Андрея значительно ослабело, когда он подходил к двери кабинета военного министра. Он почувствовал себя оскорбленным, и чувство оскорбления перешло в то же мгновение незаметно для него самого в чувство презрения, ни на чем не основанного. Находчивый же ум в то же мгновение подсказал ему ту точку зрения, с которой он имел право презирать и адъютанта и военного министра. «Им, должно быть, очень легко покажется одерживать победы, не нюхая пороха!» — подумал он. Глаза его презрительно прищурились; он особенно медленно вошел в кабинет военного министра. Чувство это еще более усилилось, когда он увидал военного министра, сидевшего над большим столом и в первые две минуты не обращавшего внимания на вошедшего. Военный министр опустил свою лысую, с седыми висками, голову между двух восковых свечей и читал, отмечая карандашом, бумаги. Он дочитывал, не поднимая головы, в то время как отворилась дверь и послышались шаги.",Андрей Болконский
Том первый,Часть вторая,XI,36,"— Ну, вот что, господа, — сказал Билибин. — Болконский мой гость в доме и здесь в Брюнне, и я хочу его угостить, сколько могу, всеми радостями здешней жизни. Ежели бы мы были в Вене, это было бы легко; но здесь, dans ce vilain trou morave 6, это труднее, и я прошу у всех вас помощи. Il faut lui faire les honneurs de Brunn 7. Вы возьмите на себя театр, я — общество, вы, Ипполит, разумеется, — женщин.","— Ну, вот что, господа, — сказал Билибин. — Болконский мой гость в доме и здесь в Брюнне, и я хочу его угостить, сколько могу, всеми РАДОСТЯМИ здешней жизни. Ежели бы мы были в Вене, это было бы легко; но здесь, dans ce vilain trou morave 6, это труднее, и я прошу у всех вас помощи. Il faut lui faire les honneurs de Brunn 7. Вы возьмите на себя театр, я — общество, вы, Ипполит, разумеется, — женщин.",Андрей Болконский
Том первый,Часть вторая,XII,37,"Вопреки словам Билибина, известие, привезенное им, было принято радостно. Назначено было благодарственное молебствие. Кутузов был награжден Марией-Терезией большого креста, и вся армия получила награды. Болконский получал приглашения со всех сторон и все утро должен был делать визиты главным сановникам Австрии. Окончив свои визиты в пятом часу вечера, мысленно сочиняя письмо отцу о сражении и о своей поездке в Брюнн, князь Андрей возвращался домой к Билибину. Прежде чем ехать к Билибину, князь Андрей поехал в книжную лавку запастись на поход книгами и засиделся в лавке. У крыльца дома, занимаемого Билибиным, стояла до половины уложенная вещами бричка, и Франц, слуга Билибина, с трудом таща чемодан, вышел из двери.","Вопреки словам Билибина, известие, привезенное им, было принято РАДОСТНО. Назначено было благодарственное молебствие. Кутузов был награжден Марией-Терезией большого креста, и вся армия получила награды. Болконский получал приглашения со всех сторон и все утро должен был делать визиты главным сановникам Австрии. Окончив свои визиты в пятом часу вечера, мысленно сочиняя письмо отцу о сражении и о своей поездке в Брюнн, князь Андрей возвращался домой к Билибину. Прежде чем ехать к Билибину, князь Андрей поехал в книжную лавку запастись на поход книгами и засиделся в лавке. У крыльца дома, занимаемого Билибиным, стояла до половины уложенная вещами бричка, и Франц, слуга Билибина, с трудом таща чемодан, вышел из двери.",Андрей Болконский
Том первый,Часть вторая,XII,37,"Вопреки словам Билибина, известие, привезенное им, было принято радостно. Назначено было благодарственное молебствие. Кутузов был награжден Марией-Терезией большого креста, и вся армия получила награды. Болконский получал приглашения со всех сторон и все утро должен был делать визиты главным сановникам Австрии. Окончив свои визиты в пятом часу вечера, мысленно сочиняя письмо отцу о сражении и о своей поездке в Брюнн, князь Андрей возвращался домой к Билибину. Прежде чем ехать к Билибину, князь Андрей поехал в книжную лавку запастись на поход книгами и засиделся в лавке. У крыльца дома, занимаемого Билибиным, стояла до половины уложенная вещами бричка, и Франц, слуга Билибина, с трудом таща чемодан, вышел из двери.","Вопреки словам Билибина, известие, привезенное им, было принято РАДОСТНО. Назначено было благодарственное молебствие. Кутузов был награжден Марией-Терезией большого креста, и вся армия получила награды. Болконский получал приглашения со всех сторон и все утро должен был делать визиты главным сановникам Австрии. Окончив свои визиты в пятом часу вечера, мысленно сочиняя письмо отцу о сражении и о своей поездке в Брюнн, князь Андрей возвращался домой к Билибину. Прежде чем ехать к Билибину, князь Андрей поехал в книжную лавку запастись на поход книгами и засиделся в лавке. У крыльца дома, занимаемого Билибиным, стояла до половины уложенная вещами бричка, и Франц, слуга Билибина, с трудом таща чемодан, вышел из двери.",Андрей Болконский
Том первый,Часть вторая,XVII,42,"Выражение «Началось! вот оно!» было даже и на крепком карем лице князя Багратиона с полузакрытыми, мутными, как будто невыспавшимися глазами. Князь Андрей с беспокойным любопытством вглядывался в это неподвижное лицо, и ему хотелось знать, думает ли и чувствует, и что думает, что чувствует этот человек в эту минуту? «Есть ли вообще что-нибудь там, за этим неподвижным лицом?» — спрашивал себя князь Андрей, глядя на него. Князь Багратион наклонил голову, в знак согласия на слова князя Андрея, и сказал «хорошо» с таким выражением, как будто все то, что происходило и что ему сообщали, было именно то, что он уже предвидел. Князь Андрей, запыхавшись от быстроты езды, говорил быстро. Князь Багратион произносил слова с своим восточным акцентом особенно медленно, как бы внушая, что торопиться некуда. Он тронул, однако, рысью свою лошадь по направлению к батарее Тушина. Князь Андрей вместе с свитой поехал за ним. За князем Багратионом ехали: свитский офицер, личный адъютант князя Жерков, ординарец, дежурный штаб-офицер на энглизированной красивой лошади и статский чиновник, аудитор, который из любопытства попросился ехать в сражение. Аудитор, полный мужчина с полным лицом, с наивною улыбкой радости оглядывался вокруг, трясясь на своей лошади, представляя странный вид в своей камлотовой шинели на фурштатском седле, среди гусар, казаков и адъютантов.","Выражение «Началось! вот оно!» было даже и на крепком карем лице князя Багратиона с полузакрытыми, мутными, как будто невыспавшимися глазами. Князь Андрей с беспокойным любопытством вглядывался в это неподвижное лицо, и ему хотелось знать, думает ли и чувствует, и что думает, что чувствует этот человек в эту минуту? «Есть ли вообще что-нибудь там, за этим неподвижным лицом?» — спрашивал себя князь Андрей, глядя на него. Князь Багратион наклонил голову, в знак согласия на слова князя Андрея, и сказал «хорошо» с таким выражением, как будто все то, что происходило и что ему сообщали, было именно то, что он уже предвидел. Князь Андрей, запыхавшись от быстроты езды, говорил быстро. Князь Багратион произносил слова с своим восточным акцентом особенно медленно, как бы внушая, что торопиться некуда. Он тронул, однако, рысью свою лошадь по направлению к батарее Тушина. Князь Андрей вместе с свитой поехал за ним. За князем Багратионом ехали: свитский офицер, личный адъютант князя Жерков, ординарец, дежурный штаб-офицер на энглизированной красивой лошади и статский чиновник, аудитор, который из любопытства попросился ехать в сражение. Аудитор, полный мужчина с полным лицом, с наивною улыбкой РАДОСТИ оглядывался вокруг, трясясь на своей лошади, представляя странный вид в своей камлотовой шинели на фурштатском седле, среди гусар, казаков и адъютантов.",Андрей Болконский
Том первый,Часть третья,VII,53,"Берг воспользовался случаем спросить с особенною учтивостию, будут ли выдавать теперь, как слышно было, удвоенное фуражное армейским ротным командирам? На это князь Андрей с улыбкой отвечал, что он не может судить о столь важных государственных распоряжениях, и Берг радостно рассмеялся.","Берг воспользовался случаем спросить с особенною учтивостию, будут ли выдавать теперь, как слышно было, удвоенное фуражное армейским ротным командирам? На это князь Андрей с улыбкой отвечал, что он не может судить о столь важных государственных распоряжениях, и Берг РАДОСТНО рассмеялся.",Андрей Болконский
Том первый,Часть третья,IX,55,"— Ах, какая досада! — сказал Долгоруков, поспешно вставая и пожимая руки князя Андрея и Бориса. — Вы знаете, я очень рад сделать все, что от меня зависит, и для вас, и для этого милого молодого человека. — Он еще раз пожал руку Бориса с выражением добродушного, искреннего и оживленного легкомыслия. — Но вы видите... до другого раза!","— Ах, какая досада! — сказал Долгоруков, поспешно вставая и пожимая руки князя Андрея и Бориса. — Вы знаете, я очень РАД сделать все, что от меня зависит, и для вас, и для этого милого молодого человека. — Он еще раз пожал руку Бориса с выражением добродушного, искреннего и оживленного легкомыслия. — Но вы видите... до другого раза!",Андрей Болконский
Том первый,Часть третья,XIX,65,"Князь Андрей понял, что это было сказано о нем и что говорит это Наполеон. Он слышал, как называли sire 5 того, кто сказал эти слова. Но он слышал эти слова, как бы он слышал жужжание мухи. Он не только не интересовался ими, но он и не заметил, а тотчас же забыл их. Ему жгло голову; он чувствовал, что он исходит кровью, и он видел над собою далекое, высокое и вечное небо. Он знал, что это был Наполеон — его герой, но в эту минуту Наполеон казался ему столь маленьким, ничтожным человеком в сравнении с тем, что происходило теперь между его душой и этим высоким, бесконечным небом с бегущими по нем облаками. Ему было совершенно все равно в эту минуту, кто бы ни стоял над ним, что бы ни говорил о нем; он рад был только тому, что остановились над ним люди, и желал только, чтоб эти люди помогли ему и возвратили бы его к жизни, которая казалась ему столь прекрасною, потому что он так иначе понимал ее теперь. Он собрал все свои силы, чтобы пошевелиться и произвести какой-нибудь звук. Он слабо пошевелил ногою и произвел самого его разжалобивший, слабый, болезненный стон.","Князь Андрей понял, что это было сказано о нем и что говорит это Наполеон. Он слышал, как называли sire 5 того, кто сказал эти слова. Но он слышал эти слова, как бы он слышал жужжание мухи. Он не только не интересовался ими, но он и не заметил, а тотчас же забыл их. Ему жгло голову; он чувствовал, что он исходит кровью, и он видел над собою далекое, высокое и вечное небо. Он знал, что это был Наполеон — его герой, но в эту минуту Наполеон казался ему столь маленьким, ничтожным человеком в сравнении с тем, что происходило теперь между его душой и этим высоким, бесконечным небом с бегущими по нем облаками. Ему было совершенно все равно в эту минуту, кто бы ни стоял над ним, что бы ни говорил о нем; он РАД был только тому, что остановились над ним люди, и желал только, чтоб эти люди помогли ему и возвратили бы его к жизни, которая казалась ему столь прекрасною, потому что он так иначе понимал ее теперь. Он собрал все свои силы, чтобы пошевелиться и произвести какой-нибудь звук. Он слабо пошевелил ногою и произвел самого его разжалобивший, слабый, болезненный стон.",Андрей Болконский
